
Settings
    fond video
    flou: 3 à 7
    taille 416
    50 000 images de data 05
    yolov3-tiny_06.cfg
    yolov3-tiny.weights
    letters_scale = 1.08
    plage_x = 4.5
    plage_y = 4.5
    size_min = 0.6
    size_max = 0.9
    variation de couleurs et éclairage avec un Sun
    50 000 itérations
    vérification du nombre de lettres: objectif 2000 par lettres, réel 1948
    changement du json utilisé par créer les shot: minuscules et majuscules séparées et pas de séparation des polices avec des canaux vides.
./darknet partial data_06/yolov3-tiny_06.cfg yolov3-tiny.weights yolov3-tiny.conv.15 15
 calculation mAP (mean average precision)...
5000
 detections_count = 253644, unique_truth_count = 97650
class_id = 0, name = font_0_b, ap = 90.07%       (TP = 214, FP = 17)
class_id = 1, name = font_0_c, ap = 84.63%       (TP = 191, FP = 17)
class_id = 2, name = font_0_d, ap = 86.43%       (TP = 205, FP = 28)
class_id = 3, name = font_0_e, ap = 85.16%       (TP = 198, FP = 38)
class_id = 4, name = font_0_f, ap = 87.56%       (TP = 213, FP = 24)
class_id = 5, name = font_0_g, ap = 82.29%       (TP = 208, FP = 10)
class_id = 6, name = font_0_h, ap = 86.15%       (TP = 199, FP = 32)
class_id = 7, name = font_0_i, ap = 64.18%       (TP = 147, FP = 28)
class_id = 8, name = font_0_j, ap = 83.31%       (TP = 166, FP = 15)
class_id = 9, name = font_0_k, ap = 90.26%       (TP = 329, FP = 27)
class_id = 10, name = font_0_l, ap = 46.50%      (TP = 153, FP = 71)
class_id = 11, name = font_0_m, ap = 88.30%      (TP = 173, FP = 17)
class_id = 12, name = font_0_n, ap = 82.20%      (TP = 142, FP = 20)
class_id = 13, name = font_0_o, ap = 86.86%      (TP = 161, FP = 15)
class_id = 14, name = font_0_p, ap = 87.78%      (TP = 161, FP = 14)
class_id = 15, name = font_0_q, ap = 86.62%      (TP = 152, FP = 13)
class_id = 16, name = font_0_r, ap = 82.75%      (TP = 154, FP = 15)
class_id = 17, name = font_0_s, ap = 82.60%      (TP = 147, FP = 19)
class_id = 18, name = font_0_t, ap = 88.69%      (TP = 454, FP = 83)
class_id = 19, name = font_0_B, ap = 90.86%      (TP = 218, FP = 24)
class_id = 20, name = font_0_C, ap = 85.60%      (TP = 208, FP = 31)
